NAME,RCH,GIS,MON,AREAkm2,FLOW_INcms,FLOW_OUTcms,EVAPcms,TLOSScms,SEDINtons,SEDOUTtons,SEDCONCmg/L,ORGNINkg,ORGNOUTkg,ORGPINkg,ORGP_OUTkg,NO3_INkg,NO3_OUTkg,NH4_INkg,NH4_OUTkg,NO2_INkg,NO2_OUTkg,MINP_INkg,MINP_OUTkg,CHLA_INkg,CHLA_OUTkg,CBOD_INkg,CBOD_OUTkg,DISOX_INkg,DISOX_OUTkg,SOLPST_INmg,SOLPST_OUTmg,SORPST_INmg,SORPST_OUTmg,REACTPSTmg,VOLPSTmg,SETTLPSTmg,RESUSP_PSTmg,DIFFUSEPSTmg,REACBEDPSTmg,BURYPSTmg,BED_PSTmg,BACTP_OUTct,BACTLP_OUTct,CMETAL#1kg,CMETAL#2kg,CMETAL#3kg,TOT_Nkg,TOT_Pkg,NO3ConcMg/l,WTMPdegc
REACH,2,0,1,28.3,0.0026,0.00167,0.000952,0.0,4.3e-08,0.0,0.0,4.81e-05,2.2e-05,0.000144,5.61e-05,1.59,1.02,0.0,0.0603,0.0,0.00717,4.82e-05,0.00898,1.94e-14,0.0,0.0,0.0,82.8,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,0.00903,0.0,0.0
REACH,8,0,1,109.0,0.0076,0.00212,0.00548,0.0,2.5e-08,0.0,0.0,0.000109,2.15e-05,0.000326,5.47e-05,5.51,1.54,0.0,0.0958,0.0,0.0127,0.000109,0.00833,8.81e-14,0.0,0.0,0.0,242.0,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.00839,0.0,0.0
REACH,11,0,1,173.0,0.00496,0.00407,0.000893,0.0,0.013,0.03,1.84,7.26e-05,5.01e-05,0.000185,0.000119,2.99,2.48,0.225,0.337,0.0426,0.0549,0.032,0.0452,7.67e-15,0.0,0.0,0.0,158.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0453,0.0,0.0
REACH,15,0,1,58.8,0.0025,4.2e-05,0.00246,0.0,5.55e-08,0.0,0.0,8.24e-05,1.07e-06,0.000247,2.95e-06,1.08,0.018,0.0,0.00189,0.0,4.17e-05,8.25e-05,5.25e-06,1.39e-13,0.0,0.0,0.0,69.9,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,8.19e-06,0.0,0.0
REACH,28,0,1,90.7,0.00487,2.61e-05,0.00485,0.0,6.01e-08,0.0,0.0,0.000115,4.77e-07,0.000344,1.31e-06,1.38,0.00742,0.0,0.000559,0.0,1.02e-05,0.000115,2.19e-06,1.43e-12,0.0,0.0,0.0,136.0,0.947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00799,3.5e-06,0.0,0.0
REACH,33,0,1,126.0,0.0023,0.000139,0.00216,0.0,4.93e-08,0.000216,0.167,7.88e-05,3.78e-06,0.000224,9.25e-06,0.642,0.0398,0.0377,0.0124,0.00344,0.00128,0.00131,0.000273,5.39e-14,0.0,0.0,0.0,64.9,4.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0535,0.000283,0.0,0.0
REACH,38,0,1,50.6,0.0047,0.00287,0.00189,0.0,4.35e-08,0.0,0.0,0.00011,4.6e-05,0.00033,0.000113,1.2,0.746,0.0,0.163,0.0,0.0235,0.00011,0.0203,8.27e-14,0.0,0.0,0.0,132.0,81.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.933,0.0204,0.0,0.0
REACH,39,0,1,29.1,0.00315,0.00182,0.00133,0.0,3.53e-08,0.0,0.0,4.48e-05,1.68e-05,0.000135,4.03e-05,1.28,0.753,0.0,0.112,0.0,0.0202,4.49e-05,0.0109,1.17e-14,0.0,0.0,0.0,100.0,51.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.011,0.0,0.0
REACH,43,0,1,19.5,0.00214,0.00202,0.000113,0.0,5.91e-08,0.0,0.0,5.74e-05,5.15e-05,0.000172,0.00015,0.905,0.857,0.0,0.00625,0.0,6.02e-05,5.74e-05,0.00026,4.69e-14,0.0,0.0,0.0,67.9,56.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.863,0.000411,0.0,0.0
REACH,2,0,2,28.3,0.0923,0.0911,0.00107,0.0,1180.0,1050.0,491.0,1510.0,1460.0,531.0,502.0,40.2,39.4,0.0,0.0975,0.0,0.00987,2.47,12.1,61.2,24.2,60200.0,49700.0,1280.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,515.0,0.0,0.0
